Timestamp,"Are you familiar with the term ""food insecurity?""",***NON-FIRST YEARS: Approximately how much $ were you left with in your top up meal plan account at the end of first year?,"***NON-FIRST YEARS: If you have any money left over in your top up account, approximately how much do you think you have?",***FIRST YEARS: Approximately how much $ are you left with in your top up meal plan account right now,"If given the option to donate the remaining $ to your food insecure peers at Western, how much would you donate?",***FACULTY/STAFF: Approximately how much $ are you left with in your top up meal plan account right now,Food_Insecurity_Familiarity,Upper_Year_Dollars_Remaining_At_End_Of_First_Year,Upper_Year_Dollars_Remaining_Now,First_Year_Dollar_Remaining_Now,Donation_Percentage,Faculty_Staff_Dollar_Remaining_Now,Donation_Amount
2024-02-28 22:02:38,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 22:17:33,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-28 22:53:19,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-29 00:34:13,Yes I know what it is,Finished it in residence,$10 - $50,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,30.0,600.0,1.0,,600.0
2024-02-29 02:57:48,Yes I know what it is,Finished it in residence,,Finished it in residence,5% of remaining funds,,Yes I know what it is,0.0,,0.0,0.05,,0.0
2024-02-29 07:21:08,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 08:16:11,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-29 08:26:40,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-29 08:56:52,Yes I know what it is,$200 - $1000,,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,,,1.0,,
2024-02-29 10:36:58,Yes I know what it is,$200 - $1000,,,,,Yes I know what it is,600.0,,,,,
2024-02-29 11:34:58,No clue,Finished it in residence,Less than $10,,0,,No clue,0.0,5.0,,,,
2024-02-29 12:23:17,Yes I know what it is,$200 - $1000,,,15% of remaining funds,,Yes I know what it is,600.0,,,0.15,,
2024-02-29 12:26:36,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-29 13:01:05,I have heard of it,>$1000 (greater than $1000),Less than $10,<$50,0,,I have heard of it,1250.0,5.0,25.0,,,
2024-02-29 13:33:09,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-02-29 13:33:09,Yes I know what it is,<$50,Less than $10,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,25.0,1.0,,25.0
2024-02-29 13:33:13,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-02-29 13:33:14,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:14,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:15,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-29 13:33:15,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-29 13:33:16,I have heard of it,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,600.0,5.0,,1.0,,
2024-02-29 13:33:16,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-02-29 13:33:19,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-29 13:33:20,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-02-29 13:33:20,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-29 13:33:21,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-29 13:33:21,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-29 13:33:22,Yes I know what it is,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,,0.35,,
2024-02-29 13:33:23,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:23,Yes I know what it is,$200 - $1000,Less than $10,<$50,15% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.15,,3.75
2024-02-29 13:33:23,Yes I know what it is,$50 - $200,Less than $10,,50% - 90%,,Yes I know what it is,125.0,5.0,,0.7,,
2024-02-29 13:33:24,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-29 13:33:25,Yes I know what it is,Finished it in residence,$10 - $50,,10% of remaining funds,,Yes I know what it is,0.0,30.0,,0.1,,
2024-02-29 13:33:26,Yes I know what it is,Finished it in residence,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,,0.35,,
2024-02-29 13:33:26,Yes I know what it is,<$50,Less than $10,,10% of remaining funds,,Yes I know what it is,25.0,5.0,,0.1,,
2024-02-29 13:33:26,Yes I know what it is,Finished it in residence,,Finished it in residence,0,,Yes I know what it is,0.0,,0.0,,,
2024-02-29 13:33:26,Yes I know what it is,Finished it in residence,,,0,,Yes I know what it is,0.0,,,,,
2024-02-29 13:33:28,Yes I know what it is,$50 - $200,,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,,0.0,1.0,,0.0
2024-02-29 13:33:28,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-29 13:33:29,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-02-29 13:33:29,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-02-29 13:33:29,Yes I know what it is,Finished it in residence,,,50% - 90%,,Yes I know what it is,0.0,,,0.7,,
2024-02-29 13:33:30,Yes I know what it is,<$50,Less than $10,,50% - 90%,,Yes I know what it is,25.0,5.0,,0.7,,
2024-02-29 13:33:31,Yes I know what it is,<$50,Less than $10,,10% of remaining funds,,Yes I know what it is,25.0,5.0,,0.1,,
2024-02-29 13:33:32,Yes I know what it is,<$50,$10 - $50,<$50,5% of remaining funds,,Yes I know what it is,25.0,30.0,25.0,0.05,,1.25
2024-02-29 13:33:32,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-29 13:33:32,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:33,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:33,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-02-29 13:33:33,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-29 13:33:34,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:35,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,I have heard of it,0.0,5.0,0.0,0.05,,0.0
2024-02-29 13:33:35,Yes I know what it is,$50 - $200,Less than $10,<$50,50% - 90%,,Yes I know what it is,125.0,5.0,25.0,0.7,,17.5
2024-02-29 13:33:35,Yes I know what it is,$200 - $1000,$100 - $1000,,15% of remaining funds,,Yes I know what it is,600.0,550.0,,0.15,,
2024-02-29 13:33:35,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-29 13:33:36,Yes I know what it is,,,,,,Yes I know what it is,,,,,,
2024-02-29 13:33:38,Yes I know what it is,$50 - $200,Less than $10,<$50,10% of remaining funds,,Yes I know what it is,125.0,5.0,25.0,0.1,,2.5
2024-02-29 13:33:38,Yes I know what it is,$50 - $200,$10 - $50,,10% of remaining funds,,Yes I know what it is,125.0,30.0,,0.1,,
2024-02-29 13:33:38,Yes I know what it is,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,,1.0,,
2024-02-29 13:33:39,Yes I know what it is,Finished it in residence,$100 - $1000,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,550.0,,1.0,,
2024-02-29 13:33:39,Yes I know what it is,<$50,$10 - $50,,,,Yes I know what it is,25.0,30.0,,,,
2024-02-29 13:33:39,Yes I know what it is,<$50,Less than $10,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,25.0,1.0,,25.0
2024-02-29 13:33:40,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-02-29 13:33:40,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.35,,0.0
2024-02-29 13:33:40,Yes I know what it is,$200 - $1000,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,600.0,30.0,,0.35,,
2024-02-29 13:33:40,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:40,Yes I know what it is,$200 - $1000,$50 - $100,,5% of remaining funds,,Yes I know what it is,600.0,75.0,,0.05,,
2024-02-29 13:33:41,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-02-29 13:33:41,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.1,,0.0
2024-02-29 13:33:41,Yes I know what it is,Finished it in residence,,,0,,Yes I know what it is,0.0,,,,,
2024-02-29 13:33:42,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-02-29 13:33:42,Yes I know what it is,Finished it in residence,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,,0.35,,
2024-02-29 13:33:42,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-29 13:33:42,Yes I know what it is,$200 - $1000,$100 - $1000,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,125.0,0.35,,43.75
2024-02-29 13:33:42,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-02-29 13:33:42,Yes I know what it is,Finished it in residence,,,50% - 90%,,Yes I know what it is,0.0,,,0.7,,
2024-02-29 13:33:42,Yes I know what it is,$50 - $200,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,,0.35,,
2024-02-29 13:33:43,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-02-29 13:33:43,Yes I know what it is,$50 - $200,Less than $10,<$50,50% - 90%,,Yes I know what it is,125.0,5.0,25.0,0.7,,17.5
2024-02-29 13:33:43,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-29 13:33:44,Yes I know what it is,<$50,Less than $10,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,25.0,1.0,,25.0
2024-02-29 13:33:44,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-02-29 13:33:44,Yes I know what it is,$200 - $1000,$50 - $100,,0,,Yes I know what it is,600.0,75.0,,,,
2024-02-29 13:33:44,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-29 13:33:45,Yes I know what it is,<$50,Less than $10,,5% of remaining funds,,Yes I know what it is,25.0,5.0,,0.05,,
2024-02-29 13:33:45,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-29 13:33:45,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-02-29 13:33:45,Yes I know what it is,$200 - $1000,$100 - $1000,,0,,Yes I know what it is,600.0,550.0,,,,
2024-02-29 13:33:45,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.35,,0.0
2024-02-29 13:33:46,Yes I know what it is,$50 - $200,$10 - $50,,0,,Yes I know what it is,125.0,30.0,,,,
2024-02-29 13:33:46,Yes I know what it is,,,,15% of remaining funds,,Yes I know what it is,,,,0.15,,
2024-02-29 13:33:46,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-29 13:33:47,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-29 13:33:47,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:47,Yes I know what it is,$50 - $200,$50 - $100,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,25.0,1.0,,25.0
2024-02-29 13:33:47,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-29 13:33:48,Yes I know what it is,<$50,$10 - $50,,5% of remaining funds,,Yes I know what it is,25.0,30.0,,0.05,,
2024-02-29 13:33:48,Yes I know what it is,<$50,$50 - $100,,10% of remaining funds,,Yes I know what it is,25.0,75.0,,0.1,,
2024-02-29 13:33:48,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:33:49,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,5% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.05,,
2024-02-29 13:33:50,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-29 13:33:50,Yes I know what it is,>$1000 (greater than $1000),>$1000 (greater than $1000),,20% - 50% of remaining funds,,Yes I know what it is,1250.0,1250.0,,0.35,,
2024-02-29 13:33:50,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-02-29 13:33:50,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.1,,0.0
2024-02-29 13:33:52,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-29 13:33:52,Yes I know what it is,$50 - $200,$50 - $100,,15% of remaining funds,,Yes I know what it is,125.0,75.0,,0.15,,
2024-02-29 13:33:53,Yes I know what it is,<$50,$50 - $100,,10% of remaining funds,,Yes I know what it is,25.0,75.0,,0.1,,
2024-02-29 13:33:53,Yes I know what it is,<$50,$50 - $100,,5% of remaining funds,,Yes I know what it is,25.0,75.0,,0.05,,
2024-02-29 13:33:53,Yes I know what it is,$200 - $1000,$10 - $50,,50% - 90%,,Yes I know what it is,600.0,30.0,,0.7,,
2024-02-29 13:33:53,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-02-29 13:33:54,I have heard of it,$50 - $200,Less than $10,<$50,5% of remaining funds,,I have heard of it,125.0,5.0,25.0,0.05,,1.25
2024-02-29 13:33:54,Yes I know what it is,<$50,$10 - $50,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,0.0,1.0,,0.0
2024-02-29 13:33:55,I have heard of it,$50 - $200,$10 - $50,,0,,I have heard of it,125.0,30.0,,,,
2024-02-29 13:33:55,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-02-29 13:33:56,Yes I know what it is,$200 - $1000,$100 - $1000,,5% of remaining funds,,Yes I know what it is,600.0,550.0,,0.05,,
2024-02-29 13:33:56,Yes I know what it is,$50 - $200,Less than $10,,5% of remaining funds,,Yes I know what it is,125.0,5.0,,0.05,,
2024-02-29 13:33:56,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-02-29 13:33:57,Yes I know what it is,$50 - $200,$50 - $100,,0,,Yes I know what it is,125.0,75.0,,,,
2024-02-29 13:33:57,Yes I know what it is,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,,1.0,,
2024-02-29 13:33:57,Yes I know what it is,$50 - $200,,,50% - 90%,,Yes I know what it is,125.0,,,0.7,,
2024-02-29 13:33:59,Yes I know what it is,Finished it in residence,,,10% of remaining funds,,Yes I know what it is,0.0,,,0.1,,
2024-02-29 13:33:59,Yes I know what it is,,,,5% of remaining funds,,Yes I know what it is,,,,0.05,,
2024-02-29 13:33:59,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-29 13:34:01,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:34:01,Yes I know what it is,$200 - $1000,$100 - $1000,$200 - $1000,0,,Yes I know what it is,600.0,550.0,600.0,,,
2024-02-29 13:34:03,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.1,,0.0
2024-02-29 13:34:04,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-29 13:34:05,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,125.0,5.0,0.0,0.1,,0.0
2024-02-29 13:34:05,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,I have heard of it,0.0,5.0,0.0,0.1,,0.0
2024-02-29 13:34:06,Yes I know what it is,$200 - $1000,,,15% of remaining funds,,Yes I know what it is,600.0,,,0.15,,
2024-02-29 13:34:07,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,15% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.15,,
2024-02-29 13:34:09,Yes I know what it is,Finished it in residence,$50 - $100,,10% of remaining funds,,Yes I know what it is,0.0,75.0,,0.1,,
2024-02-29 13:34:09,Yes I know what it is,$50 - $200,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,,0.35,,
2024-02-29 13:34:09,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-29 13:34:10,Yes I know what it is,$50 - $200,,,50% - 90%,,Yes I know what it is,125.0,,,0.7,,
2024-02-29 13:34:12,Yes I know what it is,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,,1.0,,
2024-02-29 13:34:14,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:34:15,Yes I know what it is,<$50,$10 - $50,<$50,0,,Yes I know what it is,25.0,30.0,25.0,,,
2024-02-29 13:34:16,Yes I know what it is,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,,1.0,,
2024-02-29 13:34:19,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-02-29 13:34:20,Yes I know what it is,$50 - $200,Less than $10,<$50,0,,Yes I know what it is,125.0,5.0,25.0,,,
2024-02-29 13:34:26,Yes I know what it is,$50 - $200,$100 - $1000,<$50,10% of remaining funds,,Yes I know what it is,125.0,550.0,25.0,0.1,,2.5
2024-02-29 13:34:28,Yes I know what it is,<$50,Less than $10,,0,,Yes I know what it is,25.0,5.0,,,,
2024-02-29 13:34:28,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-02-29 13:34:31,Yes I know what it is,Finished it in residence,Less than $10,,0,,Yes I know what it is,0.0,5.0,,,,
2024-02-29 13:34:34,Yes I know what it is,<$50,,,20% - 50% of remaining funds,,Yes I know what it is,25.0,,,0.35,,
2024-02-29 13:34:35,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-29 13:34:45,Yes I know what it is,>$1000 (greater than $1000),,,100% - Drain the account and donate all of it,,Yes I know what it is,1250.0,,,1.0,,
2024-02-29 13:34:46,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-02-29 13:34:50,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,0,,Yes I know what it is,1250.0,550.0,,,,
2024-02-29 13:34:58,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,0,,I have heard of it,0.0,5.0,0.0,,,
2024-02-29 13:35:01,Yes I know what it is,Finished it in residence,,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,0.0,1.0,,0.0
2024-02-29 13:35:19,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 13:35:19,Yes I know what it is,$50 - $200,$10 - $50,,5% of remaining funds,,Yes I know what it is,125.0,30.0,,0.05,,
2024-02-29 13:35:34,Yes I know what it is,$200 - $1000,$100 - $1000,$200 - $1000,15% of remaining funds,,Yes I know what it is,600.0,550.0,600.0,0.15,,90.0
2024-02-29 14:14:12,Yes I know what it is,<$50,$10 - $50,<$50,10% of remaining funds,,Yes I know what it is,25.0,30.0,25.0,0.1,,2.5
2024-02-29 14:25:55,Yes I know what it is,Finished it in residence,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,,0.35,,
2024-02-29 14:39:59,Yes I know what it is,,,,15% of remaining funds,,Yes I know what it is,,,,0.15,,
2024-02-29 14:52:37,Yes I know what it is,$50 - $200,Less than $10,,0,,Yes I know what it is,125.0,5.0,,,,
2024-02-29 15:21:13,Yes I know what it is,$200 - $1000,$100 - $1000,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,550.0,,1.0,,
2024-02-29 15:36:11,Yes I know what it is,Finished it in residence,,,10% of remaining funds,,Yes I know what it is,0.0,,,0.1,,
2024-02-29 16:44:06,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-29 17:11:48,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.05,,0.0
2024-02-29 17:20:31,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-29 18:18:21,No clue,,,$200 - $1000,15% of remaining funds,,No clue,,,600.0,0.15,,90.0
2024-02-29 18:51:27,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-29 18:56:13,Yes I know what it is,$50 - $200,Less than $10,,5% of remaining funds,,Yes I know what it is,125.0,5.0,,0.05,,
2024-02-29 19:01:54,Yes I know what it is,Finished it in residence,Less than $10,<$50,0,,Yes I know what it is,0.0,5.0,25.0,,,
2024-02-29 19:17:42,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-03-01 00:24:51,,,,,,,,,,,,,
2024-03-01 09:15:31,Yes I know what it is,$50 - $200,$10 - $50,,50% - 90%,,Yes I know what it is,125.0,30.0,,0.7,,
2024-03-01 09:31:47,No clue,Finished it in residence,Less than $10,,0,,No clue,0.0,5.0,,,,
2024-03-01 09:31:57,Yes I know what it is,<$50,Less than $10,Finished it in residence,0,,Yes I know what it is,25.0,5.0,0.0,,,
2024-03-01 09:32:02,No clue,>$1000 (greater than $1000),Less than $10,,0,,No clue,1250.0,5.0,,,,
2024-03-01 09:32:04,Yes I know what it is,<$50,,,5% of remaining funds,,Yes I know what it is,25.0,,,0.05,,
2024-03-01 09:32:07,Yes I know what it is,$50 - $200,$10 - $50,,10% of remaining funds,,Yes I know what it is,125.0,30.0,,0.1,,
2024-03-01 09:32:07,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-03-01 09:32:14,No clue,$50 - $200,$50 - $100,,0,,No clue,125.0,75.0,,,,
2024-03-01 09:32:22,Yes I know what it is,Finished it in residence,,,10% of remaining funds,,Yes I know what it is,0.0,,,0.1,,
2024-03-01 09:32:23,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-03-01 09:32:26,I have heard of it,$50 - $200,Less than $10,,0,,I have heard of it,125.0,5.0,,,,
2024-03-01 09:32:31,I have heard of it,Finished it in residence,$50 - $100,Finished it in residence,5% of remaining funds,,I have heard of it,0.0,75.0,0.0,0.05,,0.0
2024-03-01 09:32:32,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-03-01 09:32:37,I have heard of it,Finished it in residence,Less than $10,,0,,I have heard of it,0.0,5.0,,,,
2024-03-01 09:32:39,I have heard of it,Finished it in residence,,,0,,I have heard of it,0.0,,,,,
2024-03-01 09:32:39,No clue,$50 - $200,$100 - $1000,<$50,0,,No clue,125.0,550.0,25.0,,,
2024-03-01 09:32:43,I have heard of it,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,I have heard of it,600.0,550.0,,0.35,,
2024-03-01 09:33:08,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-03-01 10:01:06,Yes I know what it is,,,Finished it in residence,5% of remaining funds,,Yes I know what it is,,,0.0,0.05,,0.0
2024-03-01 10:12:46,Yes I know what it is,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,,0.35,,
2024-03-01 10:53:17,,,,,0,,,,,,,,
2024-03-01 10:59:07,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,10% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.1,,
2024-03-01 11:38:46,Yes I know what it is,<$50,,,5% of remaining funds,,Yes I know what it is,25.0,,,0.05,,
